date_time,temp,pm2_5,aqi,ozone
2024-01-04 13:00:00,41.5,6.05,48.0,0.03045119
2024-01-04 14:00:00,43.0,6.05,48.0,0.03045119
2024-01-04 15:00:00,44.0,6.05,48.0,0.03045119
2024-01-04 16:00:00,43.0,5.3875,48.0,0.03045119
2024-01-04 17:00:00,39.5,5.3875,48.0,0.03045119
2024-01-04 18:00:00,36.0,5.3875,48.0,0.03045119
2024-01-04 19:00:00,34.0,5.3875,48.0,0.03045119
2024-01-04 20:00:00,32.5,5.3875,48.0,0.03045119
2024-01-04 21:00:00,30.5,5.3875,48.0,0.03045119
2024-01-04 22:00:00,29.5,5.3875,48.0,0.03045119
2024-01-04 23:00:00,28.5,5.3875,48.0,0.03045119
2024-01-05 00:00:00,28.0,5.370833333,42.0,0.03045119
2024-01-05 01:00:00,27.5,5.370833333,42.0,0.03045119
2024-01-05 02:00:00,27.0,5.370833333,42.0,0.03045119
2024-01-05 03:00:00,26.5,5.370833333,42.0,0.03045119
2024-01-05 04:00:00,26.0,5.370833333,42.0,0.03045119
2024-01-05 05:00:00,26.0,5.370833333,42.0,0.03045119
2024-01-05 06:00:00,26.5,5.370833333,42.0,0.03045119
2024-01-05 07:00:00,27.0,5.370833333,42.0,0.03045119
2024-01-05 08:00:00,29.0,2.777083333,42.0,0.03045119
2024-01-05 09:00:00,34.0,2.777083333,42.0,0.03045119
2024-01-05 10:00:00,40.0,2.777083333,42.0,0.03045119
2024-01-05 11:00:00,43.5,2.777083333,42.0,0.03045119
2024-01-05 12:00:00,45.5,2.777083333,42.0,0.03045119
2024-01-05 13:00:00,47.0,2.777083333,42.0,0.03045119
2024-01-05 14:00:00,47.5,2.777083333,42.0,0.03045119
2024-01-05 15:00:00,48.5,2.777083333,42.0,0.03045119
2024-01-05 16:00:00,47.0,4.570833333,42.0,0.03045119
2024-01-05 17:00:00,44.0,4.570833333,42.0,0.03045119
2024-01-05 18:00:00,43.0,4.570833333,42.0,0.03045119
2024-01-05 19:00:00,42.0,4.570833333,42.0,0.03045119
2024-01-05 20:00:00,42.5,4.570833333,42.0,0.03045119
2024-01-05 21:00:00,42.5,4.570833333,42.0,0.03045119
2024-01-05 22:00:00,42.5,4.570833333,42.0,0.03045119
2024-01-05 23:00:00,42.0,4.570833333,42.0,0.03045119
2024-01-06 00:00:00,42.5,4.783333333,42.0,0.03045119
2024-01-06 01:00:00,42.0,4.783333333,42.0,0.03045119
2024-01-06 02:00:00,42.5,4.783333333,42.0,0.03045119
2024-01-06 03:00:00,43.0,4.783333333,42.0,0.03045119
2024-01-06 04:00:00,43.5,4.783333333,42.0,0.03045119
2024-01-06 05:00:00,44.5,4.783333333,42.0,0.03045119
2024-01-06 06:00:00,44.5,4.783333333,42.0,0.03045119
2024-01-06 07:00:00,44.0,4.783333333,42.0,0.03045119
2024-01-06 08:00:00,44.5,3.8125,42.0,0.03045119
2024-01-06 09:00:00,44.5,3.8125,42.0,0.03045119
2024-01-06 10:00:00,45.0,3.8125,42.0,0.03045119
2024-01-06 11:00:00,47.0,3.8125,42.0,0.03045119
2024-01-06 12:00:00,49.5,3.8125,42.0,0.03045119
2024-01-06 13:00:00,50.0,3.8125,42.0,0.03045119
2024-01-06 14:00:00,49.5,3.8125,42.0,0.03045119
2024-01-06 15:00:00,48.0,3.8125,42.0,0.03045119
2024-01-06 16:00:00,47.0,5.933333333,42.0,0.03045119
2024-01-06 17:00:00,46.0,5.933333333,42.0,0.03045119
2024-01-06 18:00:00,44.5,5.933333333,42.0,0.03045119
2024-01-06 19:00:00,44.0,5.933333333,42.0,0.03045119
2024-01-06 20:00:00,43.5,5.933333333,42.0,0.03045119
2024-01-06 21:00:00,42.5,5.933333333,42.0,0.03045119
2024-01-06 22:00:00,43.0,5.933333333,42.0,0.03045119
2024-01-06 23:00:00,43.0,5.933333333,42.0,0.03045119
2024-01-07 00:00:00,41.5,3.8875,38.0,0.03045119
2024-01-07 01:00:00,40.5,3.8875,38.0,0.03045119
2024-01-07 02:00:00,39.5,3.8875,38.0,0.03045119
2024-01-07 03:00:00,38.5,3.8875,38.0,0.03045119
2024-01-07 04:00:00,37.5,3.8875,38.0,0.03045119
2024-01-07 05:00:00,37.0,3.8875,38.0,0.03045119
2024-01-07 06:00:00,37.5,3.8875,38.0,0.03045119
2024-01-07 07:00:00,34.5,3.8875,38.0,0.03045119
2024-01-07 08:00:00,34.5,2.670833333,38.0,0.03045119
2024-01-07 09:00:00,36.5,2.670833333,38.0,0.03045119
2024-01-07 10:00:00,38.0,2.670833333,38.0,0.03045119
2024-01-07 11:00:00,39.0,2.670833333,38.0,0.03045119
2024-01-07 12:00:00,40.5,2.670833333,38.0,0.03045119
2024-01-07 13:00:00,41.5,2.670833333,38.0,0.03045119
2024-01-07 14:00:00,42.0,2.670833333,38.0,0.03045119
2024-01-07 15:00:00,41.0,2.670833333,38.0,0.03045119
2024-01-07 16:00:00,39.5,5.95,38.0,0.03045119
2024-01-07 17:00:00,37.5,5.95,38.0,0.03045119
2024-01-07 18:00:00,35.5,5.95,38.0,0.03045119
2024-01-07 19:00:00,34.5,5.95,38.0,0.03045119
2024-01-07 20:00:00,33.5,5.95,38.0,0.03045119
2024-01-07 21:00:00,33.5,5.95,38.0,0.03045119
2024-01-07 22:00:00,32.5,5.95,38.0,0.03045119
2024-01-07 23:00:00,33.0,5.95,38.0,0.03045119
2024-01-08 00:00:00,32.5,4.65,37.0,0.027119345
2024-01-08 01:00:00,32.5,4.65,37.0,0.027119345
2024-01-08 02:00:00,33.5,4.65,37.0,0.027119345
2024-01-08 03:00:00,33.0,4.65,37.0,0.027119345
2024-01-08 04:00:00,33.0,4.65,37.0,0.027119345
2024-01-08 05:00:00,33.0,4.65,37.0,0.027119345
2024-01-08 06:00:00,32.5,4.65,37.0,0.027119345
2024-01-08 07:00:00,33.0,4.65,37.0,0.027119345
2024-01-08 08:00:00,34.0,3.133333333,37.0,0.027119345
